SIT_MATRICULA,RENDA_FAMILIAR,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO,APROVADO
0,4,2014,8,0,0,0,0,2,1,1,1,1,6.7,0,54,2016,20,1
0,0,2011,0,0,0,0,0,1,2,3,3,3,10.0,0,54,2016,21,1
0,0,2011,0,0,0,0,0,2,1,1,1,1,10.0,0,54,2016,21,1
0,0,2014,0,0,0,0,0,1,0,0,0,0,0.0,70,54,2016,18,0
0,0,2013,0,0,1,0,0,1,0,0,0,0,0.0,70,54,2016,18,0
0,0,2014,0,0,0,0,1,1,1,2,2,2,0.0,70,54,2016,18,0
0,0,2012,10,0,0,0,4,1,0,0,0,0,0.0,70,54,2016,22,0
0,0,2014,10,0,0,0,0,1,3,2,3,3,1.3,8,54,2015,18,0
0,0,2012,10,0,1,0,2,1,0,0,0,0,8.0,8,54,2015,18,1
0,0,2013,10,0,0,0,0,2,1,1,1,1,0.0,70,54,2015,19,0
0,0,2014,8,0,0,0,0,1,0,0,0,0,0.5,10,54,2015,19,0
0,0,2014,10,0,0,0,3,1,2,3,2,2,0.0,70,54,2015,18,0
0,0,2011,10,0,0,0,0,1,2,2,2,2,6.6,8,54,2015,22,1
0,0,2014,10,0,0,0,0,1,0,0,0,0,0.0,70,54,2015,18,0
0,0,2014,10,0,0,0,0,1,2,2,2,2,0.7,12,54,2015,18,0
0,0,2012,10,0,0,0,0,1,2,2,2,3,0.0,70,54,2015,21,0
0,0,2015,10,0,0,0,0,1,0,0,0,0,0.0,70,54,2015,18,0
0,0,2014,10,0,0,0,0,1,2,2,2,3,0.0,70,54,2015,21,0
0,0,2014,10,0,0,0,0,1,2,3,2,3,8.8,4,54,2015,18,1
0,4,2014,8,0,0,0,0,1,0,0,0,0,6.6,10,54,2015,18,1
1,4,2013,8,0,1,0,1,1,0,0,0,0,0.0,70,54,2015,19,0
0,0,2014,10,0,0,0,0,1,0,0,0,0,0.5,70,54,2015,19,0
0,0,2014,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2015,18,1
0,0,2014,10,0,0,0,0,1,0,0,0,0,0.5,0,54,2015,19,0
0,0,2014,10,0,0,0,0,1,0,0,0,0,7.2,0,54,2015,18,1
0,0,2013,10,0,0,0,3,1,0,0,0,0,6.0,0,54,2015,18,1
0,0,2014,10,0,1,0,2,1,0,0,0,0,6.0,0,54,2015,18,1
0,0,2014,10,0,1,0,0,1,0,0,0,0,6.0,0,54,2015,18,1
1,0,2014,10,0,0,0,0,1,2,2,2,2,7.3,0,54,2015,18,1
0,0,2014,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2015,18,1
0,0,2014,10,0,0,0,0,1,0,0,0,0,6.7,0,54,2015,18,1
0,0,2014,10,0,1,0,1,1,0,0,0,0,6.7,0,54,2015,19,1
0,0,2014,10,0,0,1,0,1,2,2,2,2,7.0,0,54,2015,18,1
0,0,2012,10,0,0,0,0,1,0,0,0,0,6.0,0,54,2015,21,1
0,0,2013,10,0,1,0,1,1,3,3,3,3,7.5,0,54,2015,19,1
0,0,2013,10,0,1,0,1,3,1,1,1,1,7.5,0,54,2015,19,1
0,0,2014,10,0,1,0,1,1,0,0,0,0,6.0,0,54,2015,17,1
1,0,2014,10,0,0,0,0,1,0,0,0,0,0.0,66,54,2015,17,0
0,0,2014,10,0,0,0,2,1,3,3,2,3,6.7,0,54,2015,18,1
0,0,2014,0,0,0,0,0,1,2,2,2,2,8.0,0,54,2015,18,1
0,0,2014,0,0,0,0,0,1,0,0,0,0,6.7,0,54,2015,17,1
1,4,2014,8,0,1,0,0,1,0,0,0,0,0.0,66,54,2015,17,0
0,0,2014,10,0,1,0,0,1,0,0,0,0,6.7,0,54,2015,18,1
1,4,2009,10,0,0,0,0,1,0,0,0,0,7.2,0,54,2015,23,1
0,4,2013,8,0,1,0,0,1,0,0,0,0,6.0,0,54,2015,19,1
0,0,2006,10,0,0,0,0,1,1,1,1,1,10.0,0,54,2015,27,1
0,0,2013,10,0,0,0,0,1,0,0,0,0,7.6,0,54,2014,19,1
0,0,2013,10,0,1,0,0,1,0,0,0,0,6.0,0,54,2014,18,1
0,0,2014,10,0,0,0,3,1,0,0,0,0,6.0,0,54,2014,17,1
0,0,2013,10,0,0,0,0,1,2,2,3,2,6.0,0,54,2014,18,1
1,0,2013,10,0,0,0,0,1,0,0,0,0,8.5,0,54,2014,18,1
1,0,2007,10,0,0,0,0,1,0,0,0,0,0.0,0,54,2014,23,0
1,0,2013,10,0,1,0,0,1,0,0,0,0,7.6,0,54,2014,18,1
0,0,2013,10,0,0,0,4,1,0,0,0,0,6.0,0,54,2014,19,1
0,0,2013,10,0,0,0,0,1,2,2,2,2,6.0,0,54,2014,18,1
1,0,2010,10,0,0,0,1,1,0,0,0,0,0.0,2,54,2014,22,0
1,0,2010,10,0,0,0,1,1,0,0,0,0,0.0,66,54,2014,22,0
0,0,2012,10,0,0,0,0,1,0,0,0,0,7.6,0,54,2014,19,1
0,3,2012,0,0,0,0,0,1,2,2,2,2,8.5,0,54,2014,19,1
1,0,2013,10,0,0,0,0,1,0,0,0,0,0.0,2,54,2014,18,0
0,0,2010,10,0,0,1,0,1,0,0,0,0,0.0,0,54,2014,22,0
0,0,2010,10,0,0,1,0,1,0,0,0,0,0.0,0,54,2014,22,0
0,0,2010,10,0,0,1,0,1,0,0,0,0,0.0,70,54,2014,22,0
0,0,2013,10,0,0,0,1,1,0,0,0,0,6.5,0,54,2014,17,1
0,0,2012,10,0,0,0,0,1,0,0,0,0,7.6,0,54,2014,19,1
0,4,2013,8,0,1,0,0,1,2,2,3,3,7.5,0,54,2014,17,1
0,0,2013,10,0,0,0,1,1,0,0,0,0,7.0,0,54,2014,18,1
1,0,2011,10,0,0,0,2,1,0,0,0,0,0.0,68,54,2014,18,0
1,0,2013,10,0,0,0,2,1,0,0,0,0,0.0,4,54,2014,18,0
